inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,stock_type,zone,shown_quantity
3420636501,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,201,II,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420636503,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,201,JJ,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420636505,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,201,KK,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420636507,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,201,LL,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420636509,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,5,202,II,"5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646511,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,202,JJ,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646513,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,202,KK,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646515,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,202,LL,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646516,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,2,204,GG,"10,11",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646519,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,6,204,HH,"4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646521,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,7,204,II,"3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646523,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,204,KK,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646525,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,6,204,LL,"2,3,4,5,6,7",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646526,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,205,BB,"10,11,12",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646529,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,205,CC,"7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646531,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,5,205,DD,"5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646533,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,205,EE,"7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646535,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,7,205,FF,"3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646537,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,205,GG,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646539,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,205,HH,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646541,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,205,II,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646543,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,205,JJ,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646545,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,205,KK,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
