inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,barcodes,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,custom_split,stock_type,zone,shown_quantity,passthrough,mapping_id
01006228B1D43104-103-F-5,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,9,103,F,"5,6,7,8,9,10,11,12,13",791404852518481502566165|115493616225676724767281|944081932775841131394624|889556499785191434505359|977555055624360465954537|170228904844422540558488|600316151077934575212548|613004197373180439634999|605750461019486736033915,These are internal notes. @sec[103],These are F Row,john drew don,117.25,75.75,93.8,93.8,Y,N,2025-05-07,N,Y,CUSTOM,"5,9",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-103-G-5,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,9,103,G,"5,6,7,8,9,10,11,12,13",919635778711139387691556|298209252106915398063920|88051758957304716431937|909985982113875517401299|853839018498337256482283|422580108477705983586032|496371704865130276908604|560057856644967448395525|769188134052710219684325,These are internal notes. @sec[103],These are G Row,john drew don,117.25,75.75,93.8,93.8,Y,N,2025-05-07,N,Y,CUSTOM,"5,9",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-103-H-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,11,103,H,"4,5,6,7,8,9,10,11,12,13,14",399723183096327823221874|30040049010895936094691|125753851079268850983001|192610184510453801513507|227930128216256378419624|588833794871655798064399|46296039589421914223665|819434837843431781975005|970454129915694512266282|508981442036425177022522|172449917854277801517346,These are internal notes. @sec[103],These are H Row,john drew don,117.14,75.75,93.71,93.71,Y,N,2025-05-07,N,Y,CUSTOM,"6,11",MOBILE_TRANSFER,N,6,128shd8923kjej47,
01006228B1D43104-103-J-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,12,103,J,"4,5,6,7,8,9,10,11,12,13,14,15",887193027950688042292434|952509239743806313461446|33365028018117500117177|593376252318925329625372|56087457601251712802746|603298914083364558433239|750673416562897111472133|771956667354881778687958|1252533825344062484898|383187581981879050079890|115967347580379285289734|432358988575326002641004,These are internal notes. @sec[103],These are J Row,john drew don,117.09,75.75,93.67,93.67,Y,N,2025-05-07,N,Y,CUSTOM,"6,12",MOBILE_TRANSFER,N,6,128shd8923kjej47,
01006228B1D43104-103-K-7,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,10,103,K,"7,8,9,10,11,12,13,14,15,16",81958670694243876037132|230421908391195778633723|278283990861817077117056|260791877672596022253616|349765838992307017512398|231528302813955456674690|972669388569539151850909|790088620629596820336097|84876806091533081685181|45406681804947311036938,These are internal notes. @sec[103],These are K Row,john drew don,117.19,75.75,93.75,93.75,Y,N,2025-05-07,N,Y,CUSTOM,"5,10",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-103-L-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,11,103,L,"4,5,6,7,8,9,10,11,12,13,14",408056922917547640215036|929644231555727654320902|459400908151641380241107|617274679097340515783567|684935886352805395658925|509182201291211264071234|937470478796103458376410|358167967851664378752859|589242744952632652594347|382528703078319127389074|245303995243563628911607,These are internal notes. @sec[103],These are L Row,john drew don,117.14,75.75,93.71,93.71,Y,N,2025-05-07,N,Y,CUSTOM,"6,11",MOBILE_TRANSFER,N,6,128shd8923kjej47,
01006228B1D43104-103-L-1,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,3,103,L,"1,2,3",553295032647167488839036|359359501269133500018715|420728453622185271072645,These are internal notes. @sec[103],These are L Row,john drew don,118.50,75.75,94.8,94.8,Y,N,2025-05-07,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
01006228B1D43104-104-J-5,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,9,104,J,"5,6,7,8,9,10,11,12,13",501152249319856079036373|443897267248483404972249|7839511348032698028347|244340892205585176190339|642268664743818226084496|918371274148978139370698|877076380866917583815770|623457501620971727914059|853385655759408410583727,These are internal notes. @sec[104],These are J Row,john drew don,117.25,75.75,93.8,93.8,Y,N,2025-05-07,N,Y,CUSTOM,"5,9",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-104-K-5,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,8,104,K,"5,6,7,8,9,10,11,12",960727247890545209299273|710031365808413732331122|207892288029334874991982|186877168404432924757117|138845489608727423902322|438529838779863624345243|359336252630303470229430|190956252946180309096107,These are internal notes. @sec[104],These are K Row,john drew don,117.33,75.75,93.86,93.86,Y,N,2025-05-07,N,Y,CUSTOM,"4,8",MOBILE_TRANSFER,N,4,128shd8923kjej47,
01006228B1D43104-104-L-7,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,2,104,L,"7,8",861629218957601519157772|21075755378541013728317,These are internal notes. @sec[104],These are L Row,john drew don,93.50,55.75,74.8,74.8,Y,N,2025-05-07,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
01006228B1D43104-107-L-6,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,2,107,L,"6,7",966161068668385042682165|478085987109740359025763,These are internal notes. @sec[107],These are L Row,john drew don,119.44,75.75,95.55,95.55,Y,N,2025-05-07,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
01006228B1D43104-108-K-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,7,108,K,"4,5,6,7,8,9,10",647185371385823981498756|75766088629722888311201|459417664311515446299548|441752973709200867146978|148953484537795488342134|968936334146123770019051|97862243038990852472857,These are internal notes. @sec[108],These are K Row,john drew don,117.42,75.75,93.94,93.94,Y,N,2025-05-07,N,Y,CUSTOM,"4,7",MOBILE_TRANSFER,N,4,128shd8923kjej47,
01006228B1D43104-109-D-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,2,109,D,"4,5",727012797593196638639033|531691193740444060658991,These are internal notes. @sec[109],These are D Row,john drew don,119.44,75.75,95.55,95.55,Y,N,2025-05-07,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
01006228B1D43104-109-E-12,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,2,109,E,"12,13",484789314523367912808246|614673584436112060412697,These are internal notes. @sec[109],These are E Row,john drew don,119.44,75.75,95.55,95.55,Y,N,2025-05-07,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
01006228B1D43104-109-H-5,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,3,109,H,"5,6,7",837850134604349239894983|506625659139253515314405|862415446702278759581731,These are internal notes. @sec[109],These are H Row,john drew don,118.50,75.75,94.8,94.8,Y,N,2025-05-07,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
01006228B1D43104-109-J-9,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,7,109,J,"9,10,11,12,13,14,15",555424938756453758685510|662447133828170398230724|427747003518738379476172|38786393319170047357394|579006041568654958616990|680950715090895176640165|389795083874582900771804,These are internal notes. @sec[109],These are J Row,john drew don,117.42,75.75,93.94,93.94,Y,N,2025-05-07,N,Y,CUSTOM,"4,7",MOBILE_TRANSFER,N,4,128shd8923kjej47,
01006228B1D43104-109-K-5,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,10,109,K,"5,6,7,8,9,10,11,12,13,14",234063959263492174008475|77535480279927262299074|300205176865662513004489|524874971768277323533422|84197319632866834271145|517031223883843998229742|300867684785790300055997|412086955348398772093107|712798800818617813981264|375905905114712303910542,These are internal notes. @sec[109],These are K Row,john drew don,117.19,75.75,93.75,93.75,Y,N,2025-05-07,N,Y,CUSTOM,"5,10",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-109-L-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,10,109,L,"4,5,6,7,8,9,10,11,12,13",493603903913309717122139|11825706778389102778468|218098110770129154561649|441348123468402565147209|799364072884226404019792|156485899048106434588680|182726158744111198921484|605338532608100218966209|842098633182879646800001|464797645981951306985816,These are internal notes. @sec[109],These are L Row,john drew don,117.19,75.75,93.75,93.75,Y,N,2025-05-07,N,Y,CUSTOM,"5,10",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-109R-EE-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,3,109R,EE,"4,5,6",920200757169776513561058|913401218392537879306210|661581371553634587825558,These are internal notes. @sec[109R],These are EE Row,john drew don,118.50,75.75,94.8,94.8,Y,N,2025-05-07,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
01006228B1D43104-110-L-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,10,110,L,"4,5,6,7,8,9,10,11,12,13",26075846293733034744598|301340334176927554262788|102978316157161455496442|925276622101110579830487|192000002466637857622530|462689863573815287354196|516673938605245850493204|146026447337503714395400|95078400846322602851670|171555860558971279482603,These are internal notes. @sec[110],These are L Row,john drew don,117.19,75.75,93.75,93.75,Y,N,2025-05-07,N,Y,CUSTOM,"5,10",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-110-L-1,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,3,110,L,"1,2,3",212202059622294712963290|953149978597341096866937|668911937824199828005993,These are internal notes. @sec[110],These are L Row,john drew don,118.50,75.75,94.8,94.8,Y,N,2025-05-07,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
